DOMAIN,LOADING_TYPE_DESCRIPTION,EXPLANATION,DETAILS
lolesports.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
tesla.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
rice.edu,GTM,Loads Pixel on Accept Cookies,
abema.tv,GTM,Loads Pixel on Accept Cookies,
gazetawroclawska.pl,GTM,Loads Pixel on Accept Cookies,
just-eat.com,GTM,Loads Pixel on homepage,
marvel.com,FBP,Loads Pixel on homepage,
buffer.com,GTM,Loads Pixel on Accept Cookies,
dmm.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
customer.io,GTM,Does not load on visitation/ Has Pixel configured in GTM,
sportybet.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
bethesda.net,GTM,Does not load on visitation/ Has Pixel configured in GTM,
avg.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
decathlon.fr,GTM,Loads Pixel on Accept Cookies,
bluehost.com,FBP,Loads Pixel on Accept Cookies,
eredmenyek.com,GTM,Loads Pixel on Accept Cookies,
naukri.com,GTM,Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),buyonline
flashscore.ro,GTM,Loads Pixel on Accept Cookies,
stripe.com,GTM,GTM loading and firing only the lightweight Pixel (no config loaded),
corel.com,GTM,Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
ucr.edu,GTM,Loads Pixel on Accept Cookies,
allocine.fr,GTM,Loads Pixel on Accept Cookies,
flashscore.pe,GTM,Loads Pixel on Accept Cookies,
cuisineaz.com,GTM,Loads Pixel on Accept Cookies,
kobo.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
gotostage.com,GTM,Pixel related GTM activates under certain conditions,
researchgate.net,GTM,Does not load on visitation/ Has Pixel configured in GTM,
airbnb.com,GTM,GTM loading and firing only the lightweight Pixel (no config loaded),
ucl.ac.uk,GTM,Loads Pixel on Accept Cookies,
mass.gov,GTM,Does not load on visitation/ Has Pixel configured in GTM,
efortuna.pl,GTM,Loads Pixel on Accept Cookies,
decathlon.it,GTM,Loads Pixel on Accept Cookies,
adorocinema.com,GTM,Loads Pixel on homepage,
mercedes-benz.com,GTM,Loads Pixel on Accept Cookies,
21vek.by,GTM,Loads Pixel on Accept Cookies,
flashscore.co,GTM,Loads Pixel on Accept Cookies,
kbz0pwvxmv.com,GTM,Pixel related GTM activates under certain conditions,
nowiny24.pl,GTM,Loads Pixel on Accept Cookies,
hola.org,GTM,Pixel related GTM activates under certain conditions,
marktplaats.nl,GTM,Does not load on visitation/ Has Pixel configured in GTM,
blocket.se,GTM,Loads Pixel on Accept Cookies,
programme-tv.net,GTM,Pixel related GTM activates under certain conditions,
zalando.es,GTM,Loads Pixel on Accept Cookies,
sfr.fr,GTM,Loads Pixel on Accept Cookies,
espncricinfo.com,GTM,Pixel related GTM activates under certain conditions,
g123.jp,GTM,Does not load on visitation/ Has Pixel configured in GTM,
flashscore.pl,GTM,Loads Pixel on Accept Cookies,
bain.com,GTM,Loads Pixel on Accept Cookies,
mediamarkt.de,GTM,Loads Pixel on Accept Cookies,
ifood.com.br,GTM,Pixel related GTM activates under certain conditions,
otomoto.pl,GTM,Loads Pixel on Accept Cookies,
serasa.com.br,GTM,Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
pracuj.pl,GTM,Loads Pixel on Accept Cookies,
cambridge.org,GTM,Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
flashscore.es,GTM,Loads Pixel on Accept Cookies,
gog.com,GTM,Loads Pixel on Accept Cookies,
dmm.co.jp,GTM,Requires login,
rockstargames.com,GTM,Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
superbet.ro,GTM,Loads Pixel on Accept Cookies,
monster.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
messefrankfurt.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
elsevier.com,GTM,Loads Pixel on Accept Cookies,
su89-cdn.net,GTM,Pixel related GTM activates under certain conditions,
decathlon.es,GTM,Loads Pixel on Accept Cookies,
iop.org,GTM,Loads Pixel on Accept Cookies,
empik.com,GTM,Loads Pixel on Accept Cookies,
quizlet.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
agoda.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
strava.com,GTM,Loads Pixel on Accept Cookies,
inmobi.com,GTM,Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
betmgm.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
binance.info,GTM,Loads Pixel on Accept Cookies,Redirects to .us that loads Pixel after cookie accept
flashscore.ua,GTM,Loads Pixel on Accept Cookies,
filmstarts.de,GTM,Loads Pixel on Accept Cookies,
flashscore.co.id,GTM,Loads Pixel on Accept Cookies,
aaa.com,GTM,Pixel loads after second action,requires to enter zip code
epicurious.com,GTM,GTM loading and firing only the lightweight Pixel (no config loaded),
arkoselabs.com,FBP,Loads only library,
marmiton.org,GTM,Loads Pixel on Accept Cookies,
maersk.com,GTM,Loads Pixel on Accept Cookies,
c6gj-static.net,GTM,Pixel related GTM activates under certain conditions,
feverup.com,GTM,Loads Pixel on Accept Cookies,
